,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
449,JK Tyre,3.8,2.1k,Auto Components | Chennai +148 other locations,None,Promotions,7k,167,11,195,4
450,upGrad,3.3,2.1k,EdTech | Bengaluru +51 other locations,None,"Job Security, Promotions, Work Satisfaction",9.4k,217,29,130,18
451,Saint-Gobain,3.8,2.1k,Building Material | Mumbai +104 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",12k,214,92,248,9
452,Microsoft Corporation,3.8,2.1k,Software Product | Bengaluru +46 other locations,"Work Life Balance, Company Culture","Job Security, Promotions",31.7k,630,--,200,7
453,Manipal Hospitals,4.0,2.1k,Healthcare | Bengaluru +66 other locations,"Job Security, Skill Development, Company Culture",Promotions,7.3k,141,57,142,4
454,Jio Platforms,3.4,2.1k,IT Services & Consulting | Mumbai +105 other locations,Job Security,"Promotions, Salary, Company Culture",15k,269,--,66,--
455,FirstCry,3.5,2.1k,Retail | Pune +213 other locations,None,"Promotions, Company Culture, Work Satisfaction",8.9k,217,23,72,13
456,Cargill,3.9,2.1k,Food Processing | Bengaluru +122 other locations,"Work Life Balance, Company Culture",Promotions,8.7k,113,91,149,7
457,CAMS,3.6,2.1k,Financial Services | Chennai +109 other locations,Job Security,"Promotions, Salary, Company Culture",8.9k,152,25,53,6
458,BHEL,4.2,2.1k,Electrical Equipment | Bengaluru +134 other locations,"Job Security, Work Life Balance, Company Culture",None,5.4k,139,53,233,11
459,Nuvoco Vistas,4.1,2.1k,Building Material | Kolkata +202 other locations,"Job Security, Skill Development, Salary",None,7.2k,134,21,135,5
460,Nuvoco Vistas,4.1,2.1k,Building Material | Kolkata +202 other locations,"Job Security, Skill Development, Salary",None,7.2k,134,21,135,5
461,Kotak Securities,3.5,2.1k,Financial Services | Mumbai +143 other locations,None,"Promotions, Work Satisfaction, Skill Development",9.6k,147,34,153,3
462,NTT DATA Business Solutions,4.1,2.1k,IT Services & Consulting | Bengaluru +32 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,13.2k,276,36,16,59
463,Force Motors,3.7,2.1k,Automobile | Pune +106 other locations,None,"Promotions, Company Culture, Work Satisfaction",8.3k,147,44,156,5
464,Infinite Computer Solutions,3.2,2.1k,IT Services & Consulting | Bengaluru +36 other locations,None,"Promotions, Job Security, Company Culture",15.8k,177,281,109,19
465,Pfizer,3.9,2.1k,Pharma | Visakhapatnam +133 other locations,"Work Life Balance, Company Culture","Promotions, Job Security",5.9k,91,63,279,6
466,CitiusTech,3.1,2.1k,IT Services & Consulting | Mumbai +17 other locations,None,"Promotions, Job Security, Work Satisfaction",14.7k,321,19,167,15
467,Huawei Technologies,4.1,2.1k,Telecom | Bengaluru +104 other locations,"Salary, Skill Development, Company Culture",Job Security,7.8k,121,34,289,1
468,"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k,Automobile | Ahmedabad +108 other locations,"Job Security, Company Culture, Salary",None,6.8k,234,738,116,2
469,Simplex Infrastructures,3.4,2.1k,Engineering & Construction | Kolkata +137 other locations,None,"Promotions, Salary, Work Life Balance",4.4k,85,--,286,--
470,IndusInd General Insurance,3.6,2.1k,Insurance | Mumbai +197 other locations,None,"Promotions, Work Satisfaction, Company Culture",7.2k,104,7,135,2
471,Reliance Trends,4.1,2.1k,Retail | Bengaluru +396 other locations,"Job Security, Skill Development, Company Culture",None,4.1k,125,--,220,31
472,ITC Hotels,4.1,2.1k,Hospitality | Bengaluru +94 other locations,"Job Security, Skill Development, Company Culture",Promotions,5.4k,108,--,200,15
473,Biological E,4.2,2.1k,Pharma | Hyderabad +74 other locations,"Job Security, Work Life Balance, Company Culture",None,7.1k,147,42,224,--
474,Raymond Lifestyle Limited,4.1,2.1k,Fashion & Textile | Mumbai +150 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,6.3k,117,19,232,9
475,Morgan Stanley,3.6,2.1k,Financial Services | Mumbai +19 other locations,None,"Promotions, Job Security, Work Satisfaction",27.9k,343,66,155,8
476,SGS,3.7,2.1k,Engineering & Construction | Mumbai +148 other locations,None,"Promotions, Salary",6.5k,130,101,185,1
477,Ola Cabs,3.2,2.1k,Internet | Bengaluru +112 other locations,None,"Job Security, Promotions, Company Culture",9k,156,7,228,10
478,Delphi TVS,3.8,2.1k,Auto Components | Chennai +61 other locations,Skill Development,"Promotions, Salary",5.6k,102,2,193,--
479,EPAM Systems,3.7,2.1k,IT Services & Consulting | Hyderabad +36 other locations,"Skill Development, Salary, Work Life Balance","Promotions, Job Security, Work Satisfaction",24.3k,654,52,135,7
480,Renault-Nissan,4.1,2k,Automobile | Chennai +85 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,7.5k,128,--,268,9
481,K12 Techno Services,3.7,2k,EdTech | Bengaluru +43 other locations,None,"Job Security, Promotions",5.4k,439,326,68,1
482,Extramarks Education,3.3,2k,EdTech | Noida +112 other locations,None,"Job Security, Promotions, Work Satisfaction",7.4k,177,4,145,2
483,YASH Technologies,3.7,2k,IT Services & Consulting | Hyderabad +32 other locations,None,"Promotions, Salary, Work Satisfaction",16.3k,174,532,178,35
484,Aditya Birla Health Insurance Co,3.7,2k,Insurance | Mumbai +255 other locations,None,Promotions,7.7k,131,1,97,1
485,Narayana Health,4.0,2k,Healthcare | Bengaluru +65 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,6.2k,97,92,148,--
486,Novartis,4.1,2k,Pharma | Hyderabad +75 other locations,"Work Life Balance, Company Culture, Salary",Promotions,10.4k,171,88,230,16
487,Senco Gold,4.4,2k,Jewellery | Kolkata +83 other locations,"Job Security, Skill Development, Company Culture",None,1.6k,634,2,35,9
488,Shadowfax Technologies,3.5,2k,Logistics | Bengaluru +249 other locations,None,"Job Security, Promotions, Company Culture",7.8k,171,37,85,18
489,IDBI Bank,3.3,2k,Banking | Mumbai +337 other locations,None,"Promotions, Company Culture, Work Life Balance",6.3k,87,--,140,7
490,Trent,3.9,2k,Retail | Mumbai +150 other locations,"Job Security, Skill Development",Promotions,5k,111,31,139,8
491,HSBC Electronic Data Processing,4.0,2k,IT Services & Consulting | Bengaluru +19 other locations,"Company Culture, Work Life Balance, Job Security","Promotions, Salary",8.4k,91,--,1,1
492,SAP,4.1,2k,Software Product | Bengaluru +53 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,18.3k,322,224,286,22
493,Haier Appliances India,4.0,2k,Consumer Electronics & Appliances | Pune +164 other locations,"Skill Development, Salary",Promotions,7.3k,168,37,172,6
494,AECOM,4.2,2k,Engineering & Construction | Gurugram +124 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,7.2k,153,242,244,14
495,Honeywell Automation,3.8,2k,Industrial Automation | Pune +78 other locations,None,Promotions,12.5k,138,--,162,--
